2021-05-26 20:51:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-31 23:41:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的晚上面臨危害'}}
2021-05-31 23:42:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的晚上面臨危害'}}
2021-05-31 23:42:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-06-01 10:52:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 10:53:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 10:53:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 10:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 10:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '3天後的晚上面臨危害'}}
2021-06-01 10:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '3天後的晚上面臨危害'}}
2021-06-01 10:56:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 10:57:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 10:58:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 10:59:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 11:04:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 12:04:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 12:06:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 12:13:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 12:14:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 13:40:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 13:46:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的白天面臨危害'}}
2021-06-01 13:47:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 13:47:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 13:49:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 13:50:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 13:52:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 13:55:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 14:32:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 14:33:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 14:34:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 14:35:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 14:46:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 14:46:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 14:46:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 14:47:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 14:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 14:57:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 15:01:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 15:14:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 15:15:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 15:16:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-06-01 15:17:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的白天面臨危害'}}
2021-06-01 15:39:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 15:39:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-06-01 17:13:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 17:40:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 17:43:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 17:44:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-06-01 17:48:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-06-01 17:48:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 17:50:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 17:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 17:59:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 18:47:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 18:48:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 18:48:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 18:50:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-06-01 18:55:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 18:55:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 18:59:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 19:03:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-06-01 19:12:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-06-01 19:12:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 19:15:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 19:17:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-06-01 19:18:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 19:22:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 19:29:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-06-01 19:30:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的白天面臨危害'}}
2021-06-01 19:31:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-06-01 19:32:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}}
2021-06-01 22:37:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '2天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '7天後的白天面臨危害'}}
